alphaCode,poloBaseCoin,poloQuoteCoin,poloBuyBase,poloSellBase,liquiBaseCoin,liquiQuoteCoin,liquiBuyBase,liquiSellBase,krakenBaseCoin,krakenQuoteCoin,krakenBuyBase,krakenSellBase,buyPoloSellLiqui,buyPoloSellKraken,buyLiquiSellPolo,buyLiquiSellKraken,buyKrakenSellPolo,buyKrakenSellLiqui
1STBTC,,,,,BTC,1ST,0.00023702,0.0002348,,,,,,,,,,
1STETH,,,,,ETH,1ST,0.00485402,0.00481158,,,,,,,,,,
1STUSDT,,,,,USDT,1ST,0.46247437,0.4584313,,,,,,,,,,
AMPBTC,BTC,AMP,0.00011796,0.00011783,,,,,,,,,,,,,,
ANSBTC,,,,,BTC,ANS,0.0,0.0,,,,,,,,,,
ANTBTC,,,,,BTC,ANT,0.00061847,0.00060629,,,,,,,,,,
ANTETH,,,,,ETH,ANT,0.012495,0.01240414,,,,,,,,,,
ANTUSDT,,,,,USDT,ANT,1.19162542,1.18050262,,,,,,,,,,
ARDRBTC,BTC,ARDR,5.905e-05,5.89e-05,,,,,,,,,,,,,,
BCAPBTC,,,,,BTC,BCAP,0.00107742,0.00106715,,,,,,,,,,
BCAPETH,,,,,ETH,BCAP,0.02186429,0.02167747,,,,,,,,,,
BCAPUSDT,,,,,USDT,BCAP,2.07925867,2.05944059,,,,,,,,,,
BCNBTC,BTC,BCN,1.04e-06,1.03e-06,,,,,,,,,,,,,,
BCNXMR,XMR,BCN,6.67e-05,6.587e-05,,,,,,,,,,,,,,
BCYBTC,BTC,BCY,0.00022828,0.00022675,,,,,,,,,,,,,,
BELABTC,BTC,BELA,8.741e-05,8.626e-05,,,,,,,,,,,,,,
BLKBTC,BTC,BLK,9.805e-05,9.75e-05,,,,,,,,,,,,,,
BLKXMR,XMR,BLK,0.00630258,0.00607583,,,,,,,,,,,,,,
BTCBTCD,BTC,BTCD,0.00929999,0.00915007,,,,,,,,,,,,,,
BTCBTM,BTC,BTM,0.00027008,0.00027007,,,,,,,,,,,,,,
BTCBTS,BTC,BTS,2.695e-05,2.692e-05,,,,,,,,,,,,,,
BTCBURST,BTC,BURST,4.88e-06,4.87e-06,,,,,,,,,,,,,,
BTCCLAM,BTC,CLAM,0.00256804,0.00251604,,,,,,,,,,,,,,
BTCDASH,BTC,DASH,0.04591836,0.0459,BTC,DASH,0.04562118,0.04519535,BTC,DASH,0.046925,0.045824,0.979339325728,0.992961560474,1.00108736501,0.999429791163,0.973271963239,0.958330436248
BTCDCR,BTC,DCR,0.01010001,0.01,,,,,,,,,,,,,,
BTCDCT,,,,,BTC,DCT,0.00072,0.0006995,,,,,,,,,,
BTCDGB,BTC,DGB,3.55e-06,3.53e-06,,,,,,,,,,,,,,
BTCDOGE,BTC,DOGE,7.7e-07,7.6e-07,,,,,,,,,,,,,,
BTCDXMR,XMR,BTCD,0.60941953,0.57097129,,,,,,,,,,,,,,
BTCEDG,,,,,BTC,EDG,8.295e-05,8.214e-05,,,,,,,,,,
BTCEMC2,BTC,EMC2,9.93e-06,9.92e-06,,,,,,,,,,,,,,
BTCETC,BTC,ETC,0.00325695,0.00322581,,,,,BTC,ETC,0.00325654,0.00322402,,0.984946053862,,,0.985616977317,
BTCETH,BTC,ETH,0.04942305,0.04941197,BTC,ETH,0.04978704,0.04934197,BTC,ETH,0.049488,0.049443,0.993373912321,0.995407892041,0.987510383723,0.988130525911,0.993477590018,0.99207016928
BTCEXP,BTC,EXP,0.00105501,0.0010101,,,,,,,,,,,,,,
BTCFCT,BTC,FCT,0.00479999,0.00476621,,,,,,,,,,,,,,
BTCFLDC,BTC,FLDC,4.76e-06,4.75e-06,,,,,,,,,,,,,,
BTCFLO,BTC,FLO,3.299e-05,3.113e-05,,,,,,,,,,,,,,
BTCGAME,BTC,GAME,0.00115046,0.00112201,,,,,,,,,,,,,,
BTCGBG,,,,,BTC,GBG,0.0,0.0,,,,,,,,,,
BTCGNO,BTC,GNO,0.0696999,0.06962687,BTC,GNO,0.07011527,0.06947463,BTC,GNO,0.069812,0.069048,0.991790390896,0.985700001722,0.988075362442,0.979860614528,0.992367656247,0.99019783227
BTCGNT,BTC,GNT,0.00011793,0.00011674,BTC,GNT,0.00011905,0.00011801,,,,,0.995681230921,,0.975699534859,,,
BTCGOLOS,,,,,BTC,GOLOS,0.0,0.0,,,,,,,,,,
BTCGRC,BTC,GRC,1.806e-05,1.804e-05,,,,,,,,,,,,,,
BTCGUP,,,,,BTC,GUP,0.00011383,0.00011273,,,,,,,,,,
BTCHMQ,,,,,BTC,HMQ,2.727e-05,2.704e-05,,,,,,,,,,
BTCHUC,BTC,HUC,4.458e-05,4.317e-05,,,,,,,,,,,,,,
BTCICN,,,,,BTC,ICN,0.00044226,0.00044158,BTC,ICN,0.000449,0.000446,,,,1.00342058405,,0.978563162305
BTCINCNT,,,,,BTC,INCNT,9.545e-05,9.516e-05,,,,,,,,,,
BTCLBC,BTC,LBC,8.422e-05,8.36e-05,,,,,,,,,,,,,,
BTCLSK,BTC,LSK,0.00030093,0.00030067,,,,,,,,,,,,,,
BTCLTC,BTC,LTC,0.01411159,0.01411097,BTC,LTC,0.01403582,0.01391311,BTC,LTC,0.01417,0.014084,0.98101145278,0.993060882934,1.00033367082,0.998421754126,0.990861209849,0.97696763634
BTCLUN,,,,,BTC,LUN,0.00146122,0.00144882,,,,,,,,,,
BTCMAID,BTC,MAID,0.00017454,0.0001727,,,,,,,,,,,,,,
BTCMLN,,,,,BTC,MLN,0.02019592,0.02001924,BTC,MLN,0.02022,0.020021,,,,0.986388346322,,0.985127048479
BTCNAUT,BTC,NAUT,0.00010344,0.00010343,,,,,,,,,,,,,,
BTCNAV,BTC,NAV,0.00015324,0.00015318,,,,,,,,,,,,,,
BTCNEOS,BTC,NEOS,0.001095,0.0010943,,,,,,,,,,,,,,
BTCNMC,BTC,NMC,0.00103,0.00102,,,,,,,,,,,,,,
BTCNOTE,BTC,NOTE,2.529e-05,2.501e-05,,,,,,,,,,,,,,
BTCNXC,BTC,NXC,7.526e-05,7.521e-05,,,,,,,,,,,,,,
BTCNXT,BTC,NXT,3.2e-05,3.178e-05,,,,,,,,,,,,,,
BTCOMNI,BTC,OMNI,0.00715739,0.00715297,,,,,,,,,,,,,,
BTCPASC,BTC,PASC,0.00032154,0.00032152,,,,,,,,,,,,,,
BTCPINK,BTC,PINK,6.82e-06,6.67e-06,,,,,,,,,,,,,,
BTCPLU,,,,,BTC,PLU,0.0018125,0.00179594,,,,,,,,,,
BTCPOT,BTC,POT,4.456e-05,4.454e-05,,,,,,,,,,,,,,
BTCPPC,BTC,PPC,0.00102742,0.00100006,,,,,,,,,,,,,,
BTCRADS,BTC,RADS,0.00176385,0.001725,,,,,,,,,,,,,,
BTCREP,BTC,REP,0.009022,0.00885088,BTC,REP,0.00896164,0.0088778,BTC,REP,0.008993,0.008912,0.979102913572,0.982874717358,0.982708624537,0.989494746497,0.979281765595,0.982260256449
BTCRIC,BTC,RIC,3.97e-05,3.914e-05,,,,,,,,,,,,,,
BTCRLC,,,,,BTC,RLC,0.00023441,0.00023222,,,,,,,,,,
BTCROUND,,,,,BTC,ROUND,7.439e-05,7.386e-05,,,,,,,,,,
BTCSBD,BTC,SBD,0.00099398,0.00097301,BTC,SBD,0.0,0.0,,,,,0.0,,inf,,,
BTCSC,BTC,SC,1.98e-06,1.97e-06,,,,,,,,,,,,,,
BTCSJCX,BTC,SJCX,0.00034139,0.00034137,,,,,,,,,,,,,,
BTCSTEEM,BTC,STEEM,0.00050474,0.0005039,BTC,STEEM,0.0,0.0,,,,,0.0,,inf,,,
BTCSTR,BTC,STR,2.4e-05,2.391e-05,,,,,,,,,,,,,,
BTCSTRAT,BTC,STRAT,0.00070001,0.0007,,,,,,,,,,,,,,
BTCSYS,BTC,SYS,3.896e-05,3.82e-05,,,,,,,,,,,,,,
BTCTAAS,,,,,BTC,TAAS,0.00053011,0.00052496,,,,,,,,,,
BTCTIME,,,,,BTC,TIME,0.01021208,0.01012079,,,,,,,,,,
BTCTKN,,,,,BTC,TKN,0.00042817,0.000424,,,,,,,,,,
BTCTRST,,,,,BTC,TRST,7.917e-05,7.843e-05,,,,,,,,,,
BTCUSDT,USDT,BTC,1929.0,1925.6,USDT,BTC,1930.0,1918.17229284,,,,,0.989421161199,,0.992737841969,,,
BTCVIA,BTC,VIA,0.00017989,0.00017609,,,,,,,,,,,,,,
BTCVRC,BTC,VRC,9.116e-05,9.115e-05,,,,,,,,,,,,,,
BTCVSL,,,,,BTC,VSL,0.00015,0.00014972,,,,,,,,,,
BTCVTC,BTC,VTC,0.0001805,0.00017845,,,,,,,,,,,,,,
BTCWAVES,,,,,BTC,WAVES,0.00071675,0.00071115,,,,,,,,,,
BTCWINGS,,,,,BTC,WINGS,0.00011298,0.00011202,,,,,,,,,,
BTCXBC,BTC,XBC,0.03514096,0.035,,,,,,,,,,,,,,
BTCXCP,BTC,XCP,0.005,0.00491046,,,,,,,,,,,,,,
BTCXDG,,,,,,,,,BTC,XDG,7.71e-07,7.7e-07,,,,,,
BTCXEM,BTC,XEM,9.419e-05,9.407e-05,,,,,,,,,,,,,,
BTCXLM,,,,,,,,,BTC,XLM,2.391e-05,2.381e-05,,,,,,
BTCXMR,BTC,XMR,0.01576153,0.01575,,,,,BTC,XMR,0.015791,0.015658,,0.988470526814,,,0.992422800171,
BTCXPM,BTC,XPM,0.00019753,0.00019224,,,,,,,,,,,,,,
BTCXRP,BTC,XRP,0.000186,0.0001835,,,,,BTC,XRP,0.00018466,0.00018358,,0.982060469758,,,0.988755804587,
BTCXVC,BTC,XVC,0.00012978,0.00012724,,,,,,,,,,,,,,
BTCXZC,,,,,BTC,XZC,0.0,0.0,,,,,,,,,,
BTCZEC,BTC,ZEC,0.0495669,0.04924423,,,,,BTC,ZEC,0.049412,0.0491,,0.98563369658,,,0.991627876355,
DASHETH,,,,,ETH,DASH,0.91551478,0.90854841,,,,,,,,,,
DASHUSDT,USDT,DASH,88.94916808,88.15060413,USDT,DASH,87.07428546,86.29587509,,,,,0.965325892498,,1.00730544715,,,
DASHXMR,XMR,DASH,2.97,2.94666,,,,,,,,,,,,,,
EDGETH,,,,,ETH,EDG,0.00168114,0.00166644,,,,,,,,,,
EDGUSDT,,,,,USDT,EDG,0.16016692,0.15873509,,,,,,,,,,
ETCETH,ETH,ETC,0.06582085,0.0656944,,,,,ETH,ETC,0.06562796,0.06515141,,0.984886402201,,,0.996013567845,
ETCUSDT,USDT,ETC,6.24899998,6.21553622,,,,,,,,,,,,,,
ETHGNO,ETH,GNO,1.41999992,1.39400001,ETH,GNO,1.41394911,1.401588,ETH,GNO,1.408261,1.388601,0.982104858094,0.973004754646,0.980967923556,0.977168601037,0.984930153182,0.990291444501
ETHGNT,ETH,GNT,0.0024,0.00238699,ETH,GNT,0.00238018,0.00236058,,,,,0.978663272344,,0.997853090391,,,
ETHGUP,,,,,ETH,GUP,0.00228519,0.00226601,,,,,,,,,,
ETHHMQ,,,,,ETH,HMQ,0.00054653,0.00054153,,,,,,,,,,
ETHICN,,,,,ETH,ICN,0.009,0.00892142,ETH,ICN,0.00911,0.00904,,,,0.9994285,,0.974409292961
ETHINCNT,,,,,ETH,INCNT,0.0019173,0.00191442,,,,,,,,,,
ETHLSK,ETH,LSK,0.00616296,0.0060651,,,,,,,,,,,,,,
ETHLTC,,,,,ETH,LTC,0.28232296,0.2795764,,,,,,,,,,
ETHLUN,,,,,ETH,LUN,0.02959362,0.02934074,,,,,,,,,,
ETHMLN,,,,,ETH,MLN,0.40874138,0.40484554,ETH,MLN,0.40925,0.40481,,,,0.985436023293,,0.984297721648
ETHPLU,,,,,ETH,PLU,0.03674401,0.03643004,,,,,,,,,,
ETHREP,ETH,REP,0.17959526,0.1787,ETH,REP,0.17983411,0.17837623,ETH,REP,0.182,0.17971,0.988252494534,0.995641940592,0.98873131952,0.99431956033,0.976964927885,0.975194855502
ETHRLC,,,,,ETH,RLC,0.00476758,0.0047259,,,,,,,,,,
ETHROUND,,,,,ETH,ROUND,0.00150689,0.00149223,,,,,,,,,,
ETHSTEEM,ETH,STEEM,0.01058438,0.01003009,,,,,,,,,,,,,,
ETHTAAS,,,,,ETH,TAAS,0.01073577,0.01063133,,,,,,,,,,
ETHTIME,,,,,ETH,TIME,0.20659906,0.20479292,,,,,,,,,,
ETHTKN,,,,,ETH,TKN,0.00861709,0.00854346,,,,,,,,,,
ETHTRST,,,,,ETH,TRST,0.00160676,0.00159576,,,,,,,,,,
ETHUSDT,USDT,ETH,95.317,95.20913012,USDT,ETH,95.60985791,94.69856979,,,,,0.988550508378,,0.990835899114,,,
ETHVSL,,,,,ETH,VSL,0.00304863,0.00301957,,,,,,,,,,
ETHWAVES,,,,,ETH,WAVES,0.01442932,0.01432696,,,,,,,,,,
ETHWINGS,,,,,ETH,WINGS,0.00229949,0.00227893,,,,,,,,,,
ETHZEC,ETH,ZEC,1.00920541,0.9925,,,,,,,,,,,,,,
GNOUSDT,,,,,USDT,GNO,134.31700079,133.16928266,,,,,,,,,,
GNTUSDT,,,,,USDT,GNT,0.22927832,0.22773862,,,,,,,,,,
GUPUSDT,,,,,USDT,GUP,0.21842606,0.2168406,,,,,,,,,,
HMQUSDT,,,,,USDT,HMQ,0.05205562,0.05157999,,,,,,,,,,
ICNUSDT,,,,,USDT,ICN,0.84833837,0.84075455,,,,,,,,,,
INCNTUSDT,,,,,USDT,INCNT,0.1829226,0.18150928,,,,,,,,,,
LTCUSDT,USDT,LTC,27.21425532,27.20093559,USDT,LTC,27.00206961,26.73938166,,,,,0.977643942852,,1.00233431395,,,
LTCXMR,XMR,LTC,0.90785694,0.87984819,,,,,,,,,,,,,,
LUNUSDT,,,,,USDT,LUN,2.81044673,2.78310547,,,,,,,,,,
MAIDXMR,XMR,MAID,0.01109747,0.01089447,,,,,,,,,,,,,,
MLNUSDT,,,,,USDT,MLN,38.8876554,38.59169053,,,,,,,,,,
NXTUSDT,USDT,NXT,0.06349998,0.0617,,,,,,,,,,,,,,
NXTXMR,XMR,NXT,0.00213549,0.00204484,,,,,,,,,,,,,,
PLUUSDT,,,,,USDT,PLU,3.50776041,3.47501847,,,,,,,,,,
REPUSDT,USDT,REP,17.24,16.9117647,USDT,REP,17.08001725,16.92395872,,,,,0.976765933941,,0.985204600717,,,
RLCUSDT,,,,,USDT,RLC,0.45087078,0.44760063,,,,,,,,,,
ROUNDUSDT,,,,,USDT,ROUND,0.14375236,0.1424389,,,,,,,,,,
STRUSDT,USDT,STR,0.0465,0.0461,,,,,,,,,,,,,,
TAASUSDT,,,,,USDT,TAAS,1.01337609,1.00411697,,,,,,,,,,
TIMEUSDT,,,,,USDT,TIME,19.59779881,19.41487016,,,,,,,,,,
TKNUSDT,,,,,USDT,TKN,0.81870911,0.81236652,,,,,,,,,,
TRSTUSDT,,,,,USDT,TRST,0.15251244,0.15117738,,,,,,,,,,
USDTVSL,,,,,USDT,VSL,0.2899557,0.28719204,,,,,,,,,,
USDTWAVES,,,,,USDT,WAVES,1.37460665,1.36258948,,,,,,,,,,
USDTWINGS,,,,,USDT,WINGS,0.21633354,0.2148608,,,,,,,,,,
USDTXMR,USDT,XMR,30.30363496,29.77000004,,,,,,,,,,,,,,
USDTXRP,USDT,XRP,0.35605189,0.3553838,,,,,,,,,,,,,,
USDTZEC,USDT,ZEC,96.89999999,96.0,,,,,,,,,,,,,,
XMRZEC,XMR,ZEC,3.1761402,3.13009803,,,,,,,,,,,,,,
